File;Othor1;LineOthor1;Contribution1;Othor2;LineOthor2;Contribution2;Othor3;LineOthor3;Contribution3;Othor4;LineOthor4;Contribution4;Othor5;LineOthor5;Contribution5;Othor6;LineOthor6;Contribution6;Othor7;LineOthor7;Contribution7;File Lines;Learning;NbOthors
tensorflow\contrib\tpu\profiler\pip_package\setup.py;Eric Liu         ;51;73.91304347826087;Gunhan Gulsoy    ;2;2.898550724637681;Justine Tunney   ;2;2.898550724637681;Qiumin Xu        ;2;2.898550724637681;Jonathan DEKHTIAR;13;18.840579710144926;Taehoon Lee      ;2;2.898550724637681;Michael Case     ;3;4.3478260869565215;69;false;7
tensorflow\contrib\training\__init__.py;Eugene Brevdo         ;30;37.5;A. Unique TensorFlower;38;47.5;Frank Li              ;2;2.5;Nathan Silberman      ;8;10;Martin Wicke          ;4;5;Jianwei Xie           ;2;2.5;Benoit Steiner        ;2;2.5;80;false;7
tensorflow\contrib\training\python\training\training.py;A. Unique TensorFlower;274;50.27522935779817;Nathan Silberman      ;232;42.56880733944954;Justine Tunney        ;13;2.385321100917431;RJ Ryan               ;3;0.5504587155963303;Sergio Guadarrama     ;7;1.2844036697247707;Jonathan Hseu         ;6;1.1009174311926606;Mustafa Ispir         ;16;2.9357798165137616;545;false;7
tensorflow\python\data\util\nest.py;Derek Murray          ;524;94.75587703435805;A. Unique TensorFlower;5;0.9041591320072333;Jiri Simsa            ;14;2.5316455696202533;Sergii Khomenko       ;2;0.3616636528028933;Benoit Steiner        ;2;0.3616636528028933;Sourabh Bajaj         ;9;1.6274864376130198;Gunhan Gulsoy         ;3;0.5424954792043399;553;false;7
tensorflow\python\eager\context.py;Mark Heffernan        ;153;25.123152709359605;Akshay Agrawal        ;41;6.732348111658457;A. Unique TensorFlower;204;33.49753694581281;Alexandre Passos      ;133;21.839080459770116;Shanqing Cai          ;53;8.70279146141215;Asim Shankar          ;27;4.433497536945813;Henry Tan             ;4;0.6568144499178982;609;false;7
tensorflow\python\estimator\training.py;Jianwei Xie              ;822;84.1351074718526;Igor Saprykin            ;80;8.18833162743091;Anna R                   ;5;0.5117707267144319;Yifei Feng               ;23;2.3541453428863868;Benoit Steiner           ;4;0.4094165813715456;Mustafa Ispir            ;41;4.1965199590583415;Raghuraman Krishnamoorthi;8;0.8188331627430911;977;false;7
tensorflow\python\estimator\canned\head.py;A. Unique TensorFlower;1223;87.35714285714286;Shanqing Cai          ;2;0.14285714285714285;Mustafa Ispir         ;135;9.642857142857142;David Soergel         ;21;1.5;Yifei Feng            ;2;0.14285714285714285;Petros Mol            ;21;1.5;Benoit Steiner        ;2;0.14285714285714285;1400;false;7
tensorflow\python\estimator\inputs\queues\feeding_functions.py;Jianwei Xie           ;325;63.35282651072125;A. Unique TensorFlower;60;11.695906432748538;Andrew Harp           ;72;14.035087719298245;Yifei Feng            ;56;10.916179337231968;Jonathan Hseu         ;2;0.3898635477582846;Vijay Vasudevan       ;2;0.3898635477582846;Benoit Steiner        ;2;0.3898635477582846;513;false;7
tensorflow\python\framework\random_seed.py;A. Unique TensorFlower;21;11.538461538461538;Manjunath Kudlur      ;109;59.89010989010989;Vijay Vasudevan       ;38;20.87912087912088;Anna R                ;4;2.197802197802198;Suharsh Sivakumar     ;2;1.098901098901099;Geoffrey Irving       ;12;6.593406593406593;Martin Wicke          ;2;1.098901098901099;182;false;7
tensorflow\python\framework\sparse_tensor.py;Eugene Brevdo         ;206;75.73529411764706;Martin Wicke          ;14;5.147058823529412;Anna R                ;5;1.838235294117647;Jiri Simsa            ;16;5.882352941176471;A. Unique TensorFlower;33;12.132352941176471;Jonathan Hseu         ;2;0.7352941176470589;Patrick Nguyen        ;2;0.7352941176470589;272;false;7
tensorflow\python\framework\versions.py;A. Unique TensorFlower;1;1.492537313432836;Vijay Vasudevan       ;26;38.80597014925373;Anna R                ;12;17.91044776119403;Andrew Selle          ;4;5.970149253731344;Andrew Harp           ;5;7.462686567164179;Patrick Nguyen        ;20;29.850746268656717;Geoffrey Irving       ;5;7.462686567164179;67;false;7
tensorflow\python\ops\candidate_sampling_ops.py;A. Unique TensorFlower;17;4.533333333333333;Manjunath Kudlur      ;322;85.86666666666666;Patrick Nguyen        ;2;0.5333333333333333;Vijay Vasudevan       ;18;4.8;Yifei Feng            ;3;0.8;Anna R                ;8;2.1333333333333333;Jonathan Hseu         ;11;2.933333333333333;375;false;7
tensorflow\python\ops\linalg_grad.py;A. Unique TensorFlower;312;81.03896103896103;Manjunath Kudlur      ;24;6.233766233766234;Vijay Vasudevan       ;19;4.935064935064935;Illia Polosukhin      ;5;1.2987012987012987;Alexandre Passos      ;2;0.5194805194805194;Martin Wicke          ;2;0.5194805194805194;Viraj Navkal          ;27;7.012987012987013;385;false;7
tensorflow\python\ops\session_ops.py;A. Unique TensorFlower;5;1.6181229773462784;Yuan Yu               ;261;84.46601941747574;Mark Daoust           ;2;0.6472491909385113;Shanqing Cai          ;35;11.326860841423947;Anna R                ;5;1.6181229773462784;Geoffrey Irving       ;2;0.6472491909385113;Andrew Selle          ;5;1.6181229773462784;309;false;7
tensorflow\python\ops\distributions\bernoulli.py;A. Unique TensorFlower;61;34.26966292134831;Eugene Brevdo         ;57;32.02247191011236;Anna R                ;3;1.6853932584269662;Joshua V. Dillon      ;56;31.46067415730337;Ian Langmore          ;3;1.6853932584269662;Benoit Steiner        ;2;1.1235955056179776;Martin Wicke          ;2;1.1235955056179776;178;false;7
tensorflow\python\ops\distributions\beta.py;A. Unique TensorFlower;121;32.880434782608695;Eugene Brevdo         ;10;2.717391304347826;Anna R                ;3;0.8152173913043478;Joshua V. Dillon      ;221;60.05434782608695;Ian Langmore          ;3;0.8152173913043478;lazypanda1            ;2;0.5434782608695652;Patrick Nguyen        ;14;3.8043478260869565;368;false;7
tensorflow\python\ops\distributions\multinomial.py;A. Unique TensorFlower;117;38.11074918566775;Joshua V. Dillon      ;148;48.20846905537459;Yifei Feng            ;31;10.09771986970684;Eugene Brevdo         ;9;2.9315960912052117;Anna R                ;3;0.9771986970684039;Ian Langmore          ;3;0.9771986970684039;Shanqing Cai          ;2;0.6514657980456026;307;false;7
tensorflow\python\ops\distributions\special_math.py;Ian Langmore          ;199;46.604215456674474;A. Unique TensorFlower;186;43.559718969555036;Charles Shenton       ;25;5.85480093676815;Joshua V. Dillon      ;11;2.576112412177986;Jonathan Hseu         ;5;1.17096018735363;Martin Wicke          ;5;1.17096018735363;Taehoon Lee           ;2;0.468384074941452;427;false;7
tensorflow\python\platform\app.py;A. Unique TensorFlower;1;0.7407407407407407;Manjunath Kudlur      ;16;11.851851851851851;David G. Andersen     ;5;3.7037037037037037;Vijay Vasudevan       ;13;9.62962962962963;Yilei Yang            ;90;66.66666666666667;Patrick Nguyen        ;13;9.62962962962963;Anna R                ;3;2.2222222222222223;135;false;7
tensorflow\python\platform\gfile.py;A. Unique TensorFlower;1;1.2658227848101267;Manjunath Kudlur      ;15;18.9873417721519;Rohan Jain            ;10;12.658227848101266;Vijay Vasudevan       ;5;6.329113924050633;Patrick Nguyen        ;40;50.63291139240506;Anna R                ;4;5.063291139240507;David G. Andersen     ;10;12.658227848101266;79;false;7
tensorflow\python\summary\writer\writer.py;Dan Mané              ;288;72.36180904522612;Dandelion Mané        ;22;5.527638190954774;Eugene Brevdo         ;25;6.28140703517588;Shanqing Cai          ;15;3.7688442211055277;Anna R                ;3;0.7537688442211056;A. Unique TensorFlower;47;11.809045226130653;Patrick Nguyen        ;4;1.0050251256281406;398;false;7
tensorflow\python\training\adadelta.py;A. Unique TensorFlower;45;36.885245901639344;Vijay Vasudevan       ;69;56.557377049180324;Anna R                ;3;2.459016393442623;Dan Mané              ;2;1.639344262295082;Jonathan Hseu         ;4;3.278688524590164;Andrew Selle          ;2;1.639344262295082;Alexandre Passos      ;3;2.459016393442623;122;false;7
tensorflow\python\training\momentum.py;A. Unique TensorFlower;58;45.3125;Manjunath Kudlur      ;53;41.40625;Vijay Vasudevan       ;5;3.90625;Anna R                ;3;2.34375;Martin Wicke          ;9;7.03125;Jonathan Hseu         ;3;2.34375;Alexandre Passos      ;3;2.34375;128;false;7
tensorflow\python\training\server_lib.py;A. Unique TensorFlower;52;11.040339702760084;Derek Murray          ;399;84.71337579617834;Brennan Saeta         ;5;1.0615711252653928;Anna R                ;4;0.8492569002123143;Patrick Nguyen        ;8;1.6985138004246285;Benoit Steiner        ;2;0.42462845010615713;Mustafa Ispir         ;7;1.4861995753715498;471;false;7
tensorflow\python\training\session_run_hook.py;Mustafa Ispir         ;230;78.76712328767124;Igor Saprykin         ;2;0.684931506849315;Jonathan Hseu         ;2;0.684931506849315;A. Unique TensorFlower;33;11.301369863013699;Anna R                ;6;2.0547945205479454;Adria Puigdomenech    ;14;4.794520547945205;Shanqing Cai          ;11;3.767123287671233;292;false;7
tensorflow\python\util\deprecation.py;Martin Wicke          ;289;53.81750465549348;A. Unique TensorFlower;191;35.567970204841714;Illia Polosukhin      ;7;1.303538175046555;Charles Nicholson     ;17;3.165735567970205;Andrew Selle          ;34;6.33147113594041;Benoit Steiner        ;2;0.37243947858473;Alexandre Passos      ;3;0.5586592178770949;537;false;7
tensorflow\tools\compatibility\tf_upgrade.py;Andrew Selle             ;216;29.110512129380055;Martin Wicke             ;12;1.6172506738544474;Raghuraman Krishnamoorthi;446;60.107816711590296;Yifei Feng               ;52;7.008086253369272;Dan Ringwalt             ;5;0.6738544474393531;Benoit Steiner           ;14;1.8867924528301887;Neal Wu                  ;3;0.40431266846361186;742;false;7
