File;Othor1;LineOthor1;Contribution1;Othor2;LineOthor2;Contribution2;Othor3;LineOthor3;Contribution3;Othor4;LineOthor4;Contribution4;Othor5;LineOthor5;Contribution5;Othor6;LineOthor6;Contribution6;Othor7;LineOthor7;Contribution7;Othor8;LineOthor8;Contribution8;File Lines;Learning;NbOthors
tensorflow\python\layers\pooling.py;A. Unique TensorFlower;570;83.94698085419735;Alexandre Passos      ;20;2.9455081001472756;Francois Chollet      ;61;8.98379970544919;Patrick Nguyen        ;3;0.4418262150220913;Anna R                ;14;2.0618556701030926;Jianwei Xie           ;12;1.7673048600883652;Toby Boyd             ;3;0.4418262150220913;Martin Wicke          ;3;0.4418262150220913;679;false;8
tensorflow\python\lib\io\file_io.py;A. Unique TensorFlower;74;13.381555153707053;Rohan Jain            ;347;62.74864376130199;Dan Ringwalt          ;21;3.7974683544303796;Skye Wanderman-Milne  ;4;0.7233273056057866;Jonathan Hseu         ;67;12.115732368896927;Anna R                ;14;2.5316455696202533;Vijay Vasudevan       ;24;4.3399638336347195;Gunhan Gulsoy         ;9;1.6274864376130198;553;false;8
tensorflow\python\ops\histogram_ops.py;A. Unique TensorFlower;64;44.13793103448276;Jianwei Xie           ;69;47.58620689655172;Benoit Steiner        ;3;2.0689655172413794;Anna R                ;5;3.4482758620689653;Jonathan Hseu         ;3;2.0689655172413794;Ian Langmore          ;4;2.7586206896551726;Illia Polosukhin      ;2;1.3793103448275863;Lukasz Kaiser         ;2;1.3793103448275863;145;false;8
tensorflow\python\ops\numerics.py;A. Unique TensorFlower;4;4;Manjunath Kudlur      ;55;55;Benoit Steiner        ;6;6;Vijay Vasudevan       ;6;6;Shanqing Cai          ;16;16;Anna R                ;4;4;Lukasz Kaiser         ;2;2;Derek Murray          ;14;14;100;false;8
tensorflow\python\ops\partitioned_variables.py;A. Unique TensorFlower;196;62.61980830670927;Benoit Steiner        ;2;0.6389776357827476;Eugene Brevdo         ;86;27.476038338658146;Anna R                ;6;1.9169329073482428;Illia Polosukhin      ;21;6.7092651757188495;Jonathan Hseu         ;3;0.9584664536741214;Lukasz Kaiser         ;3;0.9584664536741214;Wei Ho                ;3;0.9584664536741214;313;false;8
tensorflow\python\ops\sparse_grad.py;A. Unique TensorFlower;31;10.839160839160838;Manjunath Kudlur      ;22;7.6923076923076925;Vijay Vasudevan       ;10;3.4965034965034967;Eugene Brevdo         ;25;8.741258741258742;Derek Murray          ;25;8.741258741258742;Zongheng Yang         ;171;59.79020979020979;Shanqing Cai          ;7;2.4475524475524475;Martin Wicke          ;2;0.6993006993006993;286;false;8
tensorflow\python\ops\distributions\categorical.py;A. Unique TensorFlower;171;50.442477876106196;Eugene Brevdo         ;17;5.014749262536873;Anna R                ;3;0.8849557522123894;Joshua V. Dillon      ;127;37.46312684365782;Ian Langmore          ;7;2.0648967551622417;Jonathan Hseu         ;2;0.5899705014749262;Martin Wicke          ;3;0.8849557522123894;Patrick Nguyen        ;16;4.71976401179941;339;false;8
tensorflow\python\ops\distributions\student_t.py;A. Unique TensorFlower;154;42.30769230769231;Olivia Nordquist      ;2;0.5494505494505495;Ian Langmore          ;6;1.6483516483516483;Eugene Brevdo         ;23;6.318681318681318;Anna R                ;3;0.8241758241758241;Joshua V. Dillon      ;154;42.30769230769231;Justine Tunney        ;26;7.142857142857143;Jonathan Hseu         ;3;0.8241758241758241;364;false;8
tensorflow\python\platform\tf_logging.py;A. Unique TensorFlower;3;0.9345794392523364;Manjunath Kudlur      ;168;52.33644859813084;Vijay Vasudevan       ;6;1.8691588785046729;Patrick Nguyen        ;61;19.003115264797508;Shanqing Cai          ;60;18.69158878504673;Josh Levenberg        ;3;0.9345794392523364;Anna R                ;23;7.165109034267913;Martin Wicke          ;4;1.2461059190031152;321;false;8
tensorflow\python\training\adagrad.py;A. Unique TensorFlower;31;25.833333333333332;Manjunath Kudlur      ;65;54.166666666666664;Vijay Vasudevan       ;6;5;James Qin             ;12;10;Peter Hawkins         ;5;4.166666666666667;Anna R                ;3;2.5;Jonathan Hseu         ;2;1.6666666666666667;Alexandre Passos      ;3;2.5;120;false;8
tensorflow\python\training\adam.py;A. Unique TensorFlower;67;30.18018018018018;Manjunath Kudlur      ;112;50.450450450450454;Vijay Vasudevan       ;10;4.504504504504505;Alexandre Passos      ;27;12.162162162162161;Anna R                ;3;1.3513513513513513;Shanqing Cai          ;2;0.9009009009009009;Allen Lavoie          ;2;0.9009009009009009;Martin Wicke          ;6;2.7027027027027026;222;false;8
tensorflow\python\training\slot_creator.py;A. Unique TensorFlower;9;4.972375690607735;Vijay Vasudevan       ;94;51.93370165745856;Jonathan Hseu         ;5;2.7624309392265194;Peter Hawkins         ;51;28.176795580110497;Andrew Harp           ;16;8.839779005524862;James Qin             ;8;4.419889502762431;Igor Saprykin         ;2;1.1049723756906078;Allen Lavoie          ;3;1.6574585635359116;181;false;8
tensorflow\python\util\nest.py;Adria Puigdomenech    ;394;45.707656612529;A. Unique TensorFlower;172;19.953596287703018;Igor Ganichev         ;10;1.160092807424594;Frank Perbet          ;78;9.048723897911833;Eugene Brevdo         ;197;22.8538283062645;Sourabh Bajaj         ;12;1.3921113689095128;Shanqing Cai          ;3;0.3480278422273782;Benoit Steiner        ;3;0.3480278422273782;862;false;8
