File;Othor1;LineOthor1;Contribution1;Othor2;LineOthor2;Contribution2;Othor3;LineOthor3;Contribution3;Othor4;LineOthor4;Contribution4;Othor5;LineOthor5;Contribution5;Othor6;LineOthor6;Contribution6;File Lines;Learning;NbOthors
tensorflow\contrib\learn\python\learn\learn_io\__init__.py;Martin Wicke          ;32;84.21052631578948;Wei Ho                ;2;5.2631578947368425;Rohan Jain            ;3;7.894736842105263;Jianwei Xie           ;2;5.2631578947368425;Illia Polosukhin      ;2;5.2631578947368425;A. Unique TensorFlower;2;5.2631578947368425;38;false;6
tensorflow\contrib\metrics\python\metrics\classification.py;A. Unique TensorFlower;6;9.375;Illia Polosukhin      ;41;64.0625;Alex Rothberg         ;4;6.25;Jonathan Hseu         ;5;7.8125;Geoffrey Irving       ;10;15.625;Andrew Selle          ;3;4.6875;64;false;6
tensorflow\contrib\quantization\python\math_ops.py;A. Unique TensorFlower;1;3.8461538461538463;Pete Warden           ;18;69.23076923076923;Geoffrey Irving       ;5;19.23076923076923;Olivia Nordquist      ;2;7.6923076923076925;Andrew Harp           ;3;11.538461538461538;Zafar Takhirov        ;2;7.6923076923076925;26;false;6
tensorflow\contrib\quantization\python\nn_ops.py;A. Unique TensorFlower;1;3.8461538461538463;Pete Warden           ;18;69.23076923076923;Geoffrey Irving       ;5;19.23076923076923;Olivia Nordquist      ;2;7.6923076923076925;Andrew Harp           ;3;11.538461538461538;Zafar Takhirov        ;2;7.6923076923076925;26;false;6
tensorflow\contrib\seq2seq\python\ops\helper.py;Eugene Brevdo         ;335;49.70326409495549;Adam Roberts          ;203;30.118694362017806;A. Unique TensorFlower;135;20.02967359050445;Frank Chen            ;2;0.29673590504451036;Martin Wicke          ;2;0.29673590504451036;Dandelion Man?        ;2;0.29673590504451036;674;false;6
tensorflow\contrib\slim\python\slim\data\dataset_data_provider.py;A. Unique TensorFlower;81;74.31192660550458;Justine Tunney        ;9;8.256880733944953;Andreas Solleder      ;2;1.834862385321101;Adam Roberts          ;13;11.926605504587156;scott                 ;4;3.669724770642202;Sergio Guadarrama     ;5;4.587155963302752;109;false;6
tensorflow\contrib\training\python\training\hparam.py;A. Unique TensorFlower;599;85.20625889046941;Thomas Schumm         ;58;8.250355618776672;Adam Roberts          ;4;0.5689900426742532;Benoit Steiner        ;2;0.2844950213371266;Christopher Shallue   ;43;6.116642958748222;Jonathan Hseu         ;2;0.2844950213371266;703;false;6
tensorflow\contrib\util\__init__.py;A. Unique TensorFlower;4;10;Geoffrey Irving       ;24;60;Vijay Vasudevan       ;8;20;Josh Levenberg        ;2;5;Eugene Brevdo         ;3;7.5;Martin Wicke          ;4;10;40;false;6
tensorflow\python\debug\wrappers\framework.py;Shanqing Cai          ;864;94.63307776560788;Dan Smilkov           ;26;2.8477546549835706;James Qin             ;3;0.32858707557502737;A. Unique TensorFlower;17;1.8619934282584885;Igor Saprykin         ;6;0.6571741511500547;Jonathan Hseu         ;2;0.21905805038335158;913;false;6
tensorflow\python\eager\execution_callbacks.py;Shanqing Cai          ;307;91.0979228486647;Alexandre Passos      ;3;0.8902077151335311;Akshay Modi           ;25;7.4183976261127595;Michael Case          ;2;0.5934718100890207;A. Unique TensorFlower;2;0.5934718100890207;Henry Tan             ;3;0.8902077151335311;337;false;6
