File;Othor1;LineOthor1;Contribution1;Othor2;LineOthor2;Contribution2;Othor3;LineOthor3;Contribution3;File Lines;Learning;NbOthors
tensorflow\python\debug\cli\stepper_cli.py;Shanqing Cai          ;569;93.58552631578948;A. Unique TensorFlower;30;4.934210526315789;Rohan Jain            ;11;1.8092105263157894;608;false;3
tensorflow\python\debug\wrappers\hooks.py;Shanqing Cai          ;275;77.24719101123596;A. Unique TensorFlower;73;20.50561797752809;Yifei Feng            ;10;2.808988764044944;356;false;3
tensorflow\python\debug\wrappers\local_cli_wrapper.py;Shanqing Cai;685;98.70317002881845;Paul Van Eck;2;0.2881844380403458;Dan Smilkov ;9;1.2968299711815563;694;false;3
tensorflow\python\estimator\warm_starting_util.py;A. Unique TensorFlower;519;99.04580152671755;Anna R                ;4;0.7633587786259542;Martin Wicke          ;3;0.5725190839694656;524;false;3
tensorflow\python\estimator\canned\baseline.py;A. Unique TensorFlower;344;95.02762430939227;Makoto Uchida         ;16;4.419889502762431;Anna R                ;4;1.1049723756906078;362;false;3
tensorflow\python\framework\op_def_registry.py;A. Unique TensorFlower;1;2.380952380952381;Manjunath Kudlur      ;38;90.47619047619048;Vijay Vasudevan       ;5;11.904761904761905;42;false;3
tensorflow\python\keras\__init__.py;Francois Chollet;47;94;Yifei Feng      ;2;4;Martin Wicke    ;3;6;50;false;3
tensorflow\python\keras\_impl\keras\constraints.py;Francois Chollet;195;94.66019417475728;Anna R          ;10;4.854368932038835;Anjali Sridhar  ;3;1.4563106796116505;206;false;3
tensorflow\python\keras\_impl\keras\estimator.py;Yifei Feng  ;292;95.73770491803279;Shanqing Cai;12;3.9344262295081966;Anna R      ;3;0.9836065573770492;305;false;3
tensorflow\python\keras\_impl\keras\losses.py;Francois Chollet;142;82.55813953488372;Anna R          ;27;15.69767441860465;Anjali Sridhar  ;5;2.9069767441860463;172;false;3
tensorflow\python\keras\_impl\keras\optimizers.py;Francois Chollet;786;97.76119402985074;Anna R          ;13;1.6169154228855722;Anjali Sridhar  ;7;0.8706467661691543;804;false;3
tensorflow\python\keras\_impl\keras\applications\imagenet_utils.py;Francois Chollet;257;76.26112759643917;Anjali Sridhar  ;68;20.178041543026705;Anna R          ;14;4.154302670623146;337;false;3
tensorflow\python\keras\_impl\keras\applications\inception_resnet_v2.py;Francois Chollet;371;96.61458333333333;Anjali Sridhar  ;10;2.6041666666666665;Anna R          ;5;1.3020833333333333;384;false;3
tensorflow\python\keras\_impl\keras\applications\inception_v3.py;Francois Chollet;402;96.63461538461539;Anjali Sridhar  ;10;2.4038461538461537;Anna R          ;6;1.4423076923076923;416;false;3
tensorflow\python\keras\_impl\keras\applications\vgg19.py;Francois Chollet;238;95.58232931726907;Anjali Sridhar  ;10;4.016064257028113;Anna R          ;3;1.2048192771084338;249;false;3
tensorflow\python\keras\_impl\keras\applications\xception.py;Francois Chollet;331;96.22093023255815;Anjali Sridhar  ;10;2.9069767441860463;Anna R          ;5;1.4534883720930232;344;false;3
tensorflow\python\keras\_impl\keras\datasets\boston_housing.py;Francois Chollet;57;91.93548387096774;Anna R          ;3;4.838709677419355;Anjali Sridhar  ;4;6.451612903225806;62;false;3
tensorflow\python\keras\_impl\keras\datasets\cifar10.py;Francois Chollet;59;95.16129032258064;Anna R          ;3;4.838709677419355;Anjali Sridhar  ;2;3.225806451612903;62;false;3
tensorflow\python\keras\_impl\keras\datasets\cifar100.py;Francois Chollet;61;95.3125;Anna R          ;3;4.6875;Anjali Sridhar  ;2;3.125;64;false;3
tensorflow\python\keras\_impl\keras\datasets\mnist.py;Francois Chollet;41;89.1304347826087;Anna R          ;3;6.521739130434782;Anjali Sridhar  ;4;8.695652173913043;46;false;3
tensorflow\python\keras\_impl\keras\layers\convolutional_recurrent.py;Francois Chollet;592;98.50249584026622;Anna R          ;3;0.49916805324459235;Anjali Sridhar  ;8;1.3311148086522462;601;false;3
tensorflow\python\keras\_impl\keras\layers\local.py;Francois Chollet;410;98.79518072289157;Anna R          ;4;0.963855421686747;Anjali Sridhar  ;3;0.7228915662650602;415;false;3
tensorflow\python\keras\_impl\keras\layers\merge.py;Francois Chollet;655;93.974175035868;Anna R          ;14;2.0086083213773316;Anjali Sridhar  ;30;4.30416068866571;697;false;3
tensorflow\python\keras\_impl\keras\layers\normalization.py;Francois Chollet;133;97.08029197080292;Anjali Sridhar  ;3;2.18978102189781;Anna R          ;3;2.18978102189781;137;false;3
tensorflow\python\keras\_impl\keras\layers\pooling.py;Francois Chollet;593;97.05400981996726;Anna R          ;17;2.7823240589198037;Anjali Sridhar  ;3;0.4909983633387889;611;false;3
tensorflow\python\keras\_impl\keras\preprocessing\image.py;Francois Chollet;1154;88.83756735950732;Anjali Sridhar  ;131;10.0846805234796;Anna R          ;16;1.2317167051578137;1299;true;3
tensorflow\python\keras\_impl\keras\utils\io_utils.py;Francois Chollet;170;98.26589595375722;Anna R          ;3;1.7341040462427746;Anjali Sridhar  ;2;1.1560693641618498;173;false;3
tensorflow\python\keras\_impl\keras\utils\layer_utils.py;Francois Chollet;235;88.01498127340824;Anna R          ;3;1.1235955056179776;Anjali Sridhar  ;31;11.610486891385769;267;false;3
tensorflow\python\keras\_impl\keras\utils\np_utils.py;Francois Chollet;63;94.02985074626865;Anna R          ;4;5.970149253731344;Anjali Sridhar  ;2;2.985074626865672;67;false;3
