File;Othor1;LineOthor1;Contribution1;Othor2;LineOthor2;Contribution2;Othor3;LineOthor3;Contribution3;Othor4;LineOthor4;Contribution4;File Lines;Learning;NbOthors
tensorflow\contrib\grid_rnn\__init__.py;A. Unique TensorFlower;1;3.5714285714285716;Vijay Vasudevan       ;18;64.28571428571429;Illia Polosukhin      ;10;35.714285714285715;Zafar Takhirov        ;2;7.142857142857143;28;false;4
tensorflow\contrib\image\python\ops\single_image_random_dot_stereograms.py;Patrick Nguyen        ;106;80.91603053435115;Derek Murray          ;3;2.2900763358778624;Yifei Feng            ;20;15.267175572519085;A. Unique TensorFlower;5;3.816793893129771;131;false;4
tensorflow\contrib\layers\python\layers\encoders.py;Illia Polosukhin;134;94.36619718309859;Eugene Brevdo   ;4;2.816901408450704;Jonathan Hseu   ;5;3.5211267605633805;Dan Ringwalt    ;2;1.408450704225352;142;false;4
tensorflow\contrib\layers\python\layers\utils.py;A. Unique TensorFlower;317;85.90785907859079;Sergio Guadarrama     ;44;11.924119241192411;Patrick Nguyen        ;2;0.5420054200542005;Jonathan Hseu         ;9;2.4390243902439024;369;false;4
tensorflow\contrib\learn\python\__init__.py;A. Unique TensorFlower;4;16.666666666666668;Vijay Vasudevan       ;18;75;Illia Polosukhin      ;3;12.5;Zafar Takhirov        ;2;8.333333333333334;24;false;4
tensorflow\contrib\learn\python\learn\export_strategy.py;David Soergel         ;75;76.53061224489795;Charles Nicholson     ;5;5.1020408163265305;A. Unique TensorFlower;18;18.367346938775512;Patrick Nguyen        ;3;3.061224489795918;98;false;4
tensorflow\contrib\learn\python\learn\datasets\__init__.py;A. Unique TensorFlower;34;30.90909090909091;Illia Polosukhin      ;31;28.181818181818183;Jonathan Hseu         ;33;30;Yifei Feng            ;15;13.636363636363637;110;false;4
tensorflow\contrib\learn\python\learn\estimators\composable_model.py;A. Unique TensorFlower;370;93.90862944162437;Justine Tunney        ;13;3.299492385786802;Lukasz Kaiser         ;11;2.7918781725888326;nagachika             ;3;0.7614213197969543;394;false;4
tensorflow\contrib\learn\python\learn\estimators\kmeans.py;A. Unique TensorFlower;265;96.01449275362319;张志豪                ;3;1.0869565217391304;Justine Tunney        ;8;2.898550724637681;Dan Ringwalt          ;3;1.0869565217391304;276;false;4
tensorflow\contrib\learn\python\learn\estimators\rnn_common.py;John Bates            ;245;80.85808580858085;A. Unique TensorFlower;49;16.17161716171617;Eugene Brevdo         ;10;3.3003300330033003;Jonathan Hseu         ;2;0.6600660066006601;303;false;4
tensorflow\contrib\learn\python\learn\estimators\state_saving_rnn_estimator.py;A. Unique TensorFlower;554;84.83920367534456;John Bates            ;92;14.088820826952526;Eugene Brevdo         ;5;0.7656967840735069;Benoit Steiner        ;5;0.7656967840735069;653;false;4
tensorflow\contrib\learn\python\learn\preprocessing\categorical_vocabulary.py;A. Unique TensorFlower;116;85.29411764705883;Vijay Vasudevan       ;16;11.764705882352942;Martin Wicke          ;4;2.9411764705882355;Andreas Solleder      ;3;2.2058823529411766;136;false;4
tensorflow\contrib\learn\python\learn\utils\gc.py;David Soergel         ;196;93.77990430622009;A. Unique TensorFlower;6;2.8708133971291865;Frank Chen            ;5;2.3923444976076556;Jonathan Hseu         ;5;2.3923444976076556;209;false;4
tensorflow\contrib\learn\python\learn\utils\inspect_checkpoint.py;A. Unique TensorFlower;2;2.4390243902439024;Illia Polosukhin      ;58;70.73170731707317;Vijay Vasudevan       ;19;23.170731707317074;Justine Tunney        ;6;7.317073170731708;82;false;4
tensorflow\contrib\linalg\__init__.py;Ian Langmore          ;33;68.75;A. Unique TensorFlower;4;8.333333333333334;Eugene Brevdo         ;10;20.833333333333332;Martin Wicke          ;4;8.333333333333334;48;false;4
tensorflow\contrib\linear_optimizer\python\sdca_estimator.py;Petros Mol   ;512;98.46153846153847;张志豪       ;3;0.5769230769230769;Mustafa Ispir;3;0.5769230769230769;Taehoon Lee  ;5;0.9615384615384616;520;false;4
tensorflow\contrib\linear_optimizer\python\sdca_optimizer.py;A. Unique TensorFlower;157;66.80851063829788;Petros Mol            ;64;27.23404255319149;Patrick Nguyen        ;15;6.382978723404255;Jonathan Hseu         ;2;0.851063829787234;235;false;4
tensorflow\contrib\lookup\__init__.py;A. Unique TensorFlower;4;7.6923076923076925;Yutaka Leon           ;41;78.84615384615384;Martin Wicke          ;8;15.384615384615385;Benoit Steiner        ;2;3.8461538461538463;52;false;4
tensorflow\contrib\meta_graph_transform\meta_graph_transform.py;David Soergel         ;389;50.651041666666664;Mark Daoust           ;3;0.390625;A. Unique TensorFlower;377;49.088541666666664;Benoit Steiner        ;2;0.2604166666666667;768;false;4
tensorflow\contrib\nn\__init__.py;Martin Wicke          ;32;76.19047619047619;A. Unique TensorFlower;8;19.047619047619047;Benoit Steiner        ;3;7.142857142857143;TTrapper              ;2;4.761904761904762;42;false;4
tensorflow\contrib\opt\python\training\elastic_average_optimizer.py;Dandelion Man?        ;287;81.30311614730878;Yifei Feng            ;63;17.847025495750707;A. Unique TensorFlower;4;1.13314447592068;cclauss               ;2;0.56657223796034;353;false;4
tensorflow\contrib\opt\python\training\moving_average_optimizer.py;A. Unique TensorFlower;137;79.1907514450867;Andrew Selle          ;35;20.23121387283237;Dandelion Mané        ;2;1.1560693641618498;Illia Polosukhin      ;2;1.1560693641618498;173;false;4
tensorflow\contrib\quantization\__init__.py;A. Unique TensorFlower;2;6.451612903225806;Pete Warden           ;25;80.64516129032258;Andrew Harp           ;5;16.129032258064516;Zafar Takhirov        ;2;6.451612903225806;31;false;4
tensorflow\contrib\rnn\python\ops\fused_rnn_cell.py;A. Unique TensorFlower;174;95.08196721311475;Eugene Brevdo         ;8;4.371584699453552;Jianwei Xie           ;2;1.092896174863388;Andrew Selle          ;2;1.092896174863388;183;false;4
tensorflow\contrib\session_bundle\bundle_shim.py;A. Unique TensorFlower;266;96.028880866426;Justine Tunney        ;3;1.0830324909747293;Benoit Steiner        ;3;1.0830324909747293;Michael Case          ;8;2.888086642599278;277;false;4
tensorflow\contrib\session_bundle\constants.py;A. Unique TensorFlower;6;16.216216216216218;Kiril Gorovoy         ;28;75.67567567567568;Sukriti Ramesh        ;2;5.405405405405405;Rajendra arora        ;4;10.81081081081081;37;false;4
tensorflow\contrib\session_bundle\gc.py;A. Unique TensorFlower;2;0.9259259259259259;Noah Fiedel           ;196;90.74074074074075;Sukriti Ramesh        ;16;7.407407407407407;Frank Chen            ;5;2.314814814814815;216;false;4
tensorflow\contrib\signal\__init__.py;Dan Ringwalt          ;24;44.44444444444444;RJ Ryan               ;26;48.148148148148145;A. Unique TensorFlower;3;5.555555555555555;Igor Saprykin         ;4;7.407407407407407;54;false;4
tensorflow\contrib\slim\python\slim\nets\alexnet.py;Sergio Guadarrama;79;57.2463768115942;Justine Tunney   ;48;34.78260869565217;Nathan Silberman ;8;5.797101449275362;Olivia Nordquist ;6;4.3478260869565215;138;false;4
tensorflow\contrib\slim\python\slim\nets\inception_v1.py;Nathan Silberman      ;137;33.01204819277108;Justine Tunney        ;229;55.18072289156626;A. Unique TensorFlower;10;2.4096385542168677;Sergio Guadarrama     ;42;10.120481927710843;415;false;4
tensorflow\contrib\slim\python\slim\nets\inception_v2.py;Nathan Silberman      ;274;42.61275272161742;Justine Tunney        ;318;49.4556765163297;A. Unique TensorFlower;21;3.265940902021773;Sergio Guadarrama     ;33;5.132192846034215;643;false;4
tensorflow\contrib\slim\python\slim\nets\overfeat.py;Sergio Guadarrama;74;56.92307692307692;Justine Tunney   ;47;36.15384615384615;Nathan Silberman ;6;4.615384615384615;Olivia Nordquist ;6;4.615384615384615;130;false;4
tensorflow\contrib\slim\python\slim\nets\resnet_v1.py;Nathan Silberman ;190;53.97727272727273;Justine Tunney   ;83;23.579545454545453;Jonathan Shen    ;80;22.727272727272727;Sergio Guadarrama;2;0.5681818181818182;352;false;4
tensorflow\contrib\solvers\python\ops\lanczos.py;A. Unique TensorFlower;188;79.32489451476793;Justine Tunney        ;40;16.877637130801688;Jonathan Hseu         ;10;4.219409282700422;Taehoon Lee           ;2;0.8438818565400844;237;false;4
tensorflow\contrib\tensorboard\plugins\trace\trace.py;Dan Smilkov   ;155;92.81437125748504;Justine Tunney;9;5.389221556886228;Yifei Feng    ;4;2.395209580838323;Rohan Jain    ;2;1.1976047904191616;167;false;4
tensorflow\contrib\tensor_forest\python\tensor_forest.py;A. Unique TensorFlower;686;99.42028985507247;Vijay Vasudevan       ;2;0.2898550724637681;Olivia Nordquist      ;2;0.2898550724637681;Andrew Selle          ;3;0.43478260869565216;690;false;4
tensorflow\contrib\tpu\profiler\pip_package\cloud_tpu_profiler\main.py;Eric Liu              ;38;38.38383838383838;Michael Case          ;7;7.070707070707071;A. Unique TensorFlower;52;52.525252525252526;Shanqing Cai          ;5;5.05050505050505;99;false;4
tensorflow\contrib\training\python\training\device_setter.py;Frank Li              ;103;75.73529411764706;A. Unique TensorFlower;31;22.794117647058822;Andrew Harp           ;2;1.4705882352941178;Jonathan Hseu         ;3;2.2058823529411766;136;false;4
tensorflow\contrib\training\python\training\sampling_ops.py;A. Unique TensorFlower;349;82.70142180094787;Justine Tunney        ;72;17.061611374407583;Eugene Brevdo         ;2;0.47393364928909953;Alexandre Passos      ;2;0.47393364928909953;422;false;4
tensorflow\python\client\client_lib.py;A. Unique TensorFlower;4;7.142857142857143;Manjunath Kudlur      ;45;80.35714285714286;Vijay Vasudevan       ;6;10.714285714285714;Patrick Nguyen        ;4;7.142857142857143;56;false;4
tensorflow\python\client\notebook.py;A. Unique TensorFlower;1;0.7751937984496124;Manjunath Kudlur      ;99;76.74418604651163;Vijay Vasudevan       ;27;20.930232558139537;Yifei Feng            ;5;3.875968992248062;129;false;4
tensorflow\python\debug\__init__.py;Shanqing Cai          ;63;84;A. Unique TensorFlower;6;8;Tim Harley            ;3;4;Martin Wicke          ;6;8;75;false;4
tensorflow\python\debug\cli\analyzer_cli.py;Shanqing Cai          ;1638;99.75639464068209;Jonathan Hseu         ;2;0.1218026796589525;Dan Smilkov           ;2;0.1218026796589525;A. Unique TensorFlower;3;0.18270401948842874;1642;false;4
tensorflow\python\debug\cli\debugger_cli_common.py;Shanqing Cai          ;1135;93.26211996713229;A. Unique TensorFlower;81;6.655710764174199;Benoit Steiner        ;2;0.16433853738701726;Andreas Solleder      ;2;0.16433853738701726;1217;false;4
tensorflow\python\debug\lib\debug_gradients.py;Shanqing Cai        ;409;98.3173076923077;Skye Wanderman-Milne;6;1.4423076923076923;Jonathan Hseu       ;2;0.4807692307692308;Benoit Steiner      ;2;0.4807692307692308;416;false;4
tensorflow\python\debug\lib\debug_utils.py;Shanqing Cai          ;257;98.46743295019157;A. Unique TensorFlower;2;0.7662835249042146;Andreas Solleder      ;3;1.1494252873563218;Patrick Nguyen        ;2;0.7662835249042146;261;false;4
tensorflow\python\estimator\export\export_output.py;David Soergel         ;188;95.43147208121827;A. Unique TensorFlower;4;2.030456852791878;Anna R                ;6;3.045685279187817;Jonathan Hseu         ;2;1.015228426395939;197;false;4
tensorflow\python\estimator\inputs\numpy_io.py;Jianwei Xie           ;107;47.98206278026906;A. Unique TensorFlower;59;26.457399103139014;Yifei Feng            ;57;25.56053811659193;Anna R                ;3;1.345291479820628;223;false;4
tensorflow\python\framework\errors.py;A. Unique TensorFlower;19;25.675675675675677;Manjunath Kudlur      ;15;20.27027027027027;Vijay Vasudevan       ;5;6.756756756756757;Patrick Nguyen        ;38;51.351351351351354;74;false;4
tensorflow\python\framework\errors_impl.py;Patrick Nguyen      ;454;86.97318007662835;Skye Wanderman-Milne;3;0.5747126436781609;Anna R              ;45;8.620689655172415;Allen Lavoie        ;23;4.406130268199234;522;false;4
tensorflow\python\framework\graph_io.py;Patrick Nguyen;68;91.89189189189189;James Qin     ;4;5.405405405405405;Anna R        ;3;4.054054054054054;Frank Chen    ;2;2.7027027027027026;74;false;4
