File;Othor1;LineOthor1;Contribution1;Othor2;LineOthor2;Contribution2;Othor3;LineOthor3;Contribution3;Othor4;LineOthor4;Contribution4;Othor5;LineOthor5;Contribution5;File Lines;Learning;NbOthors
tensorflow\contrib\learn\python\learn\preprocessing\__init__.py;A. Unique TensorFlower;16;64;Vijay Vasudevan       ;5;20;Martin Wicke          ;4;16;Illia Polosukhin      ;2;8;Zafar Takhirov        ;2;8;25;false;5
tensorflow\contrib\learn\python\learn\utils\saved_model_export_utils.py;David Soergel         ;392;50.3209242618742;A. Unique TensorFlower;380;48.78048780487805;James Qin             ;7;0.8985879332477535;Gunhan Gulsoy         ;2;0.25673940949935814;Jonathan Hseu         ;2;0.25673940949935814;779;false;5
tensorflow\contrib\quantization\python\array_ops.py;A. Unique TensorFlower;1;3.8461538461538463;Pete Warden           ;16;61.53846153846154;Geoffrey Irving       ;5;19.23076923076923;Zafar Takhirov        ;3;11.538461538461538;Andrew Harp           ;5;19.23076923076923;26;false;5
tensorflow\contrib\rnn\python\ops\rnn.py;A. Unique TensorFlower;206;86.19246861924687;Justine Tunney        ;4;1.6736401673640167;Jonathan Hseu         ;14;5.857740585774058;Eugene Brevdo         ;8;3.3472803347280333;James Qin             ;11;4.602510460251046;239;false;5
tensorflow\contrib\rnn\python\tools\checkpoint_convert.py;Shanqing Cai          ;243;88.68613138686132;Benoit Steiner        ;6;2.18978102189781;A. Unique TensorFlower;11;4.014598540145985;Alexander Gorban      ;16;5.839416058394161;Jonathan Hseu         ;2;0.7299270072992701;274;false;5
tensorflow\contrib\seq2seq\python\ops\basic_decoder.py;Eugene Brevdo         ;139;93.28859060402685;Adria Puigdomenech    ;3;2.0134228187919465;A. Unique TensorFlower;3;2.0134228187919465;Adam Roberts          ;5;3.3557046979865772;Francois Chollet      ;3;2.0134228187919465;149;false;5
tensorflow\contrib\seq2seq\python\ops\loss.py;Patrick Nguyen;76;66.08695652173913;Neal Wu       ;13;11.304347826086957;Rohan Jain    ;16;13.91304347826087;Falcon Dai    ;12;10.434782608695652;Martin Wicke  ;2;1.7391304347826086;115;false;5
tensorflow\contrib\session_bundle\session_bundle.py;A. Unique TensorFlower;67;38.72832369942196;Kiril Gorovoy         ;85;49.13294797687861;Justine Tunney        ;17;9.826589595375722;Sukriti Ramesh        ;6;3.468208092485549;Gunhan Gulsoy         ;2;1.1560693641618498;173;false;5
tensorflow\contrib\slim\python\slim\data\prefetch_queue.py;A. Unique TensorFlower;81;89.01098901098901;Justine Tunney        ;8;8.791208791208792;Jonathan Hseu         ;2;2.197802197802198;Lukasz Kaiser         ;2;2.197802197802198;Dan Mané              ;2;2.197802197802198;91;false;5
tensorflow\contrib\slim\python\slim\nets\inception_v3.py;Nathan Silberman      ;295;40.46639231824417;Justine Tunney        ;376;51.57750342935528;A. Unique TensorFlower;53;7.270233196159122;Sergio Guadarrama     ;3;0.411522633744856;Yunxing Dai           ;6;0.823045267489712;729;false;5
tensorflow\contrib\slim\python\slim\nets\resnet_utils.py;Nathan Silberman ;202;74.81481481481481;Justine Tunney   ;55;20.37037037037037;Jonathan Hseu    ;7;2.5925925925925926;Jonathan Shen    ;8;2.962962962962963;Sergio Guadarrama;2;0.7407407407407407;270;false;5
tensorflow\contrib\slim\python\slim\nets\resnet_v2.py;Nathan Silberman ;180;49.31506849315068;Justine Tunney   ;95;26.027397260273972;Jonathan Shen    ;89;24.383561643835616;Dan Ringwalt     ;3;0.821917808219178;Sergio Guadarrama;2;0.547945205479452;365;false;5
tensorflow\contrib\solvers\python\ops\linear_equations.py;A. Unique TensorFlower;71;54.19847328244275;Justine Tunney        ;15;11.450381679389313;Michael Case          ;6;4.580152671755725;Cesc                  ;36;27.480916030534353;Jonathan Hseu         ;7;5.343511450381679;131;false;5
tensorflow\contrib\tpu\__init__.py;Frank Chen            ;25;35.714285714285715;A. Unique TensorFlower;28;40;Peter Hawkins         ;7;10;Jianwei Xie           ;8;11.428571428571429;Eric Liu              ;6;8.571428571428571;70;false;5
tensorflow\contrib\tpu\python\tpu\tpu_config.py;Frank Chen            ;37;18.226600985221676;Jianwei Xie           ;79;38.916256157635466;A. Unique TensorFlower;53;26.108374384236452;Jonathan Hseu         ;22;10.83743842364532;Brennan Saeta         ;16;7.8817733990147785;203;false;5
tensorflow\contrib\tpu\python\tpu\tpu_feed.py;Frank Chen   ;593;95.79967689822294;Shanqing Cai ;2;0.32310177705977383;Jonathan Hseu;10;1.615508885298869;Peter Hawkins;11;1.7770597738287561;Brennan Saeta;7;1.1308562197092085;619;false;5
tensorflow\python\pywrap_tensorflow.py;Jonathan Hseu;39;51.31578947368421;Allen Lavoie ;28;36.8421052631579;Derek Murray ;8;10.526315789473685;Alex Sergeev ;3;3.9473684210526314;Martin Wicke ;2;2.6315789473684212;76;false;5
tensorflow\python\data\ops\iterator_ops.py;A. Unique TensorFlower;264;63.768115942028984;Derek Murray          ;69;16.666666666666668;Jiri Simsa            ;73;17.632850241545892;Anna R                ;3;0.7246376811594203;Shivani Agrawal       ;9;2.1739130434782608;414;false;5
tensorflow\python\data\ops\readers.py;A. Unique TensorFlower;145;84.30232558139535;Brennan Saeta         ;9;5.232558139534884;Anna R                ;5;2.9069767441860463;Derek Murray          ;4;2.3255813953488373;Jiri Simsa            ;13;7.558139534883721;172;false;5
tensorflow\python\debug\cli\tensor_format.py;Shanqing Cai  ;562;98.76977152899825;Dan Smilkov   ;5;0.8787346221441125;fo40225       ;2;0.351493848857645;Benoit Steiner;2;0.351493848857645;ImSheridan    ;2;0.351493848857645;569;false;5
tensorflow\python\debug\lib\stepper.py;Shanqing Cai          ;959;99.27536231884058;Yifei Feng            ;5;0.5175983436853002;peisong               ;2;0.2070393374741201;Andrew Selle          ;2;0.2070393374741201;A. Unique TensorFlower;2;0.2070393374741201;966;false;5
tensorflow\python\debug\wrappers\dumping_wrapper.py;Shanqing Cai          ;125;92.5925925925926;A. Unique TensorFlower;8;5.925925925925926;Patrick Nguyen        ;2;1.4814814814814814;Paul Van Eck          ;2;1.4814814814814814;Jonathan Hseu         ;2;1.4814814814814814;135;false;5
tensorflow\python\eager\custom_gradient.py;Mark Heffernan        ;47;51.64835164835165;Alexandre Passos      ;41;45.05494505494506;Akshay Agrawal        ;3;3.2967032967032965;Henry Tan             ;2;2.197802197802198;A. Unique TensorFlower;2;2.197802197802198;91;false;5
