File;Othor1;LineOthor1;Contribution1;Othor2;LineOthor2;Contribution2;Othor3;LineOthor3;Contribution3;Othor4;LineOthor4;Contribution4;Othor5;LineOthor5;Contribution5;Othor6;LineOthor6;Contribution6;Othor7;LineOthor7;Contribution7;Othor8;LineOthor8;Contribution8;Othor9;LineOthor9;Contribution9;File Lines;Learning;NbOthors
tensorflow\python\ops\ctc_ops.py;A. Unique TensorFlower;50;17.36111111111111;Eugene Brevdo         ;203;70.48611111111111;Andrew Harp           ;10;3.4722222222222223;Anna R                ;5;1.7361111111111112;Benoit Steiner        ;2;0.6944444444444444;Jonathan Hseu         ;7;2.4305555555555554;Vijay Vasudevan       ;9;3.125;Alexandre Passos      ;5;1.7361111111111112;Dan Ringwalt          ;5;1.7361111111111112;288;false;9
tensorflow\python\ops\rnn_cell_impl.py;Patrick Nguyen        ;83;6.4591439688715955;Martin Wicke          ;8;0.622568093385214;Eugene Brevdo         ;1056;82.17898832684826;A. Unique TensorFlower;106;8.249027237354085;Anna R                ;12;0.933852140077821;Adria Puigdomenech    ;8;0.622568093385214;Ali Yahya             ;7;0.5447470817120622;James Qin             ;8;0.622568093385214;Jianwei Xie           ;5;0.38910505836575876;1285;false;9
tensorflow\python\ops\tensor_array_ops.py;A. Unique TensorFlower;83;8.358509566968781;Eugene Brevdo         ;289;29.103726082578046;Alexandre Passos      ;2;0.2014098690835851;Akshay Agrawal        ;599;60.32225579053374;Yuan Yu               ;10;1.0070493454179255;Anna R                ;3;0.3021148036253776;Jonathan Hseu         ;4;0.4028197381671702;Derek Murray          ;8;0.8056394763343404;Lukasz Kaiser         ;3;0.3021148036253776;993;false;9
tensorflow\python\tools\freeze_graph.py;A. Unique TensorFlower;126;33.1578947368421;Pete Warden           ;91;23.94736842105263;Vijay Vasudevan       ;69;18.157894736842106;Justine Tunney        ;12;3.1578947368421053;Hee Jung Ryu          ;32;8.421052631578947;Michael Case          ;27;7.105263157894737;Martin Wicke          ;12;3.1578947368421053;Jonathan Hseu         ;8;2.1052631578947367;Sanjoy Das            ;11;2.8947368421052633;380;false;9
tensorflow\python\training\coordinator.py;A. Unique TensorFlower;300;58.93909626719057;Manjunath Kudlur      ;177;34.77406679764243;Vijay Vasudevan       ;11;2.161100196463654;Josh Levenberg        ;3;0.5893909626719057;Anna R                ;4;0.7858546168958742;Derek Murray          ;6;1.1787819253438114;Jonathan Hseu         ;2;0.3929273084479371;Mustafa Ispir         ;12;2.357563850687623;Benoit Steiner        ;2;0.3929273084479371;509;false;9
tensorflow\python\training\device_setter.py;A. Unique TensorFlower;27;12.5;Sherry Moore          ;106;49.074074074074076;Frank Li              ;75;34.72222222222222;Derek Murray          ;4;1.8518518518518519;Anna R                ;3;1.3888888888888888;RJ Ryan               ;2;0.9259259259259259;Andrew Harp           ;2;0.9259259259259259;Toby Boyd             ;3;1.3888888888888888;Alexandre Passos      ;2;0.9259259259259259;216;false;9
tensorflow\python\training\rmsprop.py;A. Unique TensorFlower;123;50.40983606557377;Manjunath Kudlur      ;70;28.688524590163933;Vijay Vasudevan       ;19;7.786885245901639;James Qin             ;8;3.278688524590164;Peter Hawkins         ;4;1.639344262295082;Anna R                ;3;1.2295081967213115;Yifei Feng            ;8;3.278688524590164;Allen Lavoie          ;12;4.918032786885246;Alexandre Passos      ;5;2.0491803278688523;244;false;9
tensorflow\python\training\sync_replicas_optimizer.py;A. Unique TensorFlower;21;4.208416833667335;Jianmin Chen          ;390;78.15631262525051;Alexandre Passos      ;2;0.40080160320641284;Mustafa Ispir         ;73;14.629258517034069;Anna R                ;3;0.6012024048096193;Sourabh Bajaj         ;2;0.40080160320641284;Illia Polosukhin      ;2;0.40080160320641284;Allen Lavoie          ;12;2.404809619238477;Jianwei Xie           ;2;0.40080160320641284;499;false;9
tensorflow\python\training\training_util.py;A. Unique TensorFlower;24;9.448818897637794;Manjunath Kudlur      ;41;16.141732283464567;Vijay Vasudevan       ;6;2.3622047244094486;Mustafa Ispir         ;157;61.811023622047244;Patrick Nguyen        ;6;2.3622047244094486;Sherry Moore          ;2;0.7874015748031497;Anna R                ;7;2.7559055118110236;Jonathan Hseu         ;4;1.5748031496062993;Alexandre Passos      ;15;5.905511811023622;254;false;9
tensorflow\python\util\compat.py;A. Unique TensorFlower;2;1.3071895424836601;Manjunath Kudlur      ;60;39.21568627450981;Patrick Nguyen        ;43;28.104575163398692;Jianwei Xie           ;16;10.457516339869281;Josh Levenberg        ;2;1.3071895424836601;Anna R                ;12;7.8431372549019605;Justine Tunney        ;7;4.57516339869281;Geoffrey Irving       ;3;1.9607843137254901;Vijay Vasudevan       ;16;10.457516339869281;153;false;9
tensorflow\tools\git\gen_git_source.py;Martin Wicke          ;8;2.7681660899653977;Andrew Selle          ;234;80.96885813148789;Yun Peng              ;10;3.4602076124567476;Michael Case          ;9;3.114186851211073;Patrick Nguyen        ;9;3.114186851211073;A. Unique TensorFlower;10;3.4602076124567476;Vijay Vasudevan       ;5;1.7301038062283738;Gunhan Gulsoy         ;3;1.0380622837370241;Andrew Harp           ;9;3.114186851211073;289;false;9
