File;Othor1;LineOthor1;Contribution1;Othor2;LineOthor2;Contribution2;File Lines;Learning;NbOthors
tensorflow\contrib\tpu\python\tpu\tpu_sharding.py;Frank Chen            ;247;97.62845849802372;A. Unique TensorFlower;7;2.766798418972332;253;false;2
tensorflow\contrib\training\python\training\resample.py;A. Unique TensorFlower;100;67.56756756756756;Stephan Hoyer         ;49;33.108108108108105;148;false;2
tensorflow\contrib\util\loader.py;Derek Murray;36;63.1578947368421;Martin Wicke;22;38.59649122807018;57;false;2
tensorflow\java\maven\tensorflow-android\update.py;A. Unique TensorFlower;138;99.28057553956835;Amit Patankar         ;2;1.4388489208633093;139;false;2
tensorflow\python\pywrap_dlopen_global_flags.py;Allen Lavoie          ;44;88;A. Unique TensorFlower;7;14;50;false;2
tensorflow\python\data\util\sparse.py;Jiri Simsa     ;151;99.34210526315789;Sergii Khomenko;2;1.3157894736842106;152;false;2
tensorflow\python\debug\cli\command_parser.py;Shanqing Cai          ;377;68.54545454545455;A. Unique TensorFlower;174;31.636363636363637;550;false;2
tensorflow\python\debug\cli\curses_ui.py;Shanqing Cai          ;1639;98.67549668874172;A. Unique TensorFlower;23;1.3847080072245634;1661;false;2
tensorflow\python\debug\cli\offline_analyzer.py;Shanqing Cai   ;50;64.1025641025641;Vijay Vasudevan;29;37.17948717948718;78;false;2
tensorflow\python\debug\lib\debug_graphs.py;Shanqing Cai;501;99.6023856858847;Frank Chen  ;3;0.5964214711729622;503;false;2
tensorflow\python\debug\lib\grpc_debug_server.py;Shanqing Cai;487;98.78296146044624;Tim Harley  ;7;1.4198782961460445;493;false;2
tensorflow\python\debug\lib\source_utils.py;Shanqing Cai          ;313;99.36507936507937;A. Unique TensorFlower;3;0.9523809523809523;315;false;2
tensorflow\python\debug\wrappers\grpc_wrapper.py;Shanqing Cai          ;228;98.27586206896552;A. Unique TensorFlower;5;2.1551724137931036;232;false;2
