File;Othor1;LineOthor1;Contribution1;Lines File; Learning ; NbOthors
tensorflow\contrib\distributions\python\ops\bijectors\gumbel.py;A. Unique TensorFlower;124;100;124;false;1
tensorflow\contrib\distributions\python\ops\bijectors\real_nvp.py;A. Unique TensorFlower;282;100;282;false;1
tensorflow\contrib\distributions\python\ops\bijectors\reshape.py;A. Unique TensorFlower;314;100;314;false;1
tensorflow\contrib\distributions\python\ops\bijectors\weibull.py;A. Unique TensorFlower;149;100;149;false;1
tensorflow\contrib\eager\python\checkpointable_utils.py;Allen Lavoie;413;100;413;false;1
tensorflow\contrib\eager\python\metrics.py;A. Unique TensorFlower;26;100;26;false;1
tensorflow\contrib\estimator\python\estimator\dnn.py;drpngx;134;100;134;false;1
tensorflow\contrib\estimator\python\estimator\dnn_linear_combined.py;A. Unique TensorFlower;164;100;164;false;1
tensorflow\contrib\estimator\python\estimator\head.py;A. Unique TensorFlower;583;100;583;false;1
tensorflow\contrib\estimator\python\estimator\linear.py;A. Unique TensorFlower;118;100;118;false;1
tensorflow\contrib\estimator\python\estimator\logit_fns.py;A. Unique TensorFlower;96;100;96;false;1
tensorflow\contrib\estimator\python\estimator\multi_head.py;A. Unique TensorFlower;368;100;368;false;1
tensorflow\contrib\estimator\python\estimator\replicate_model_fn.py;Igor Saprykin;822;100;822;false;1
tensorflow\contrib\factorization\python\__init__.py;A. Unique TensorFlower;19;100;19;false;1
tensorflow\contrib\feature_column\__init__.py;A. Unique TensorFlower;30;100;30;false;1
tensorflow\contrib\feature_column\python\feature_column\sequential_feature_column.py;A. Unique TensorFlower;19;100;19;false;1
tensorflow\contrib\framework\python\ops\audio_ops.py;Pete Warden;36;100;36;false;1
tensorflow\contrib\framework\python\ops\critical_section_ops.py;Eugene Brevdo;324;100;324;false;1
tensorflow\contrib\framework\python\ops\sort_ops.py;Martin Wicke;113;100;113;false;1
tensorflow\contrib\fused_conv\__init__.py;Yangzihao Wang;25;100;25;false;1
tensorflow\contrib\fused_conv\python\__init__.py;Yangzihao Wang;19;100;19;false;1
tensorflow\contrib\gan\__init__.py;A. Unique TensorFlower;50;100;50;false;1
tensorflow\contrib\gan\python\namedtuples.py;A. Unique TensorFlower;190;100;190;false;1
tensorflow\contrib\gan\python\estimator\__init__.py;A. Unique TensorFlower;40;100;40;false;1
tensorflow\contrib\gan\python\estimator\python\gan_estimator.py;A. Unique TensorFlower;28;100;28;false;1
tensorflow\contrib\gan\python\estimator\python\head.py;A. Unique TensorFlower;28;100;28;false;1
tensorflow\contrib\gan\python\eval\__init__.py;A. Unique TensorFlower;48;100;48;false;1
