File;Othor1;LineOthor1;Contribution1;Lines File; Learning ; NbOthors
tensorflow\contrib\training\python\training\feeding_queue_runner.py;Martin Wicke;24;100;24;false;1
tensorflow\contrib\training\python\training\tensor_queue_dataset.py;Eugene Brevdo;200;100;200;false;1
tensorflow\contrib\training\python\training\tuner.py;Jianwei Xie;87;100;87;false;1
tensorflow\contrib\training\python\training\__init__.py;Robin Richtsfeld;18;100;18;false;1
tensorflow\python\data\util\convert.py;Brennan Saeta;34;100;34;false;1
tensorflow\python\debug\cli\base_ui.py;Shanqing Cai;215;100;215;false;1
tensorflow\python\debug\cli\cli_config.py;Shanqing Cai;160;100;160;false;1
tensorflow\python\debug\cli\curses_widgets.py;Shanqing Cai;202;100;202;false;1
tensorflow\python\debug\cli\evaluator.py;Shanqing Cai;152;100;152;false;1
tensorflow\python\debug\cli\readline_ui.py;Shanqing Cai;129;100;129;false;1
tensorflow\python\debug\cli\ui_factory.py;Shanqing Cai;71;100;71;false;1
tensorflow\python\debug\lib\common.py;Shanqing Cai;87;100;87;false;1
tensorflow\python\debug\lib\debug_service_pb2_grpc.py;Shanqing Cai;111;100;111;false;1
tensorflow\python\debug\lib\profiling.py;Shanqing Cai;108;100;108;false;1
tensorflow\python\debug\lib\source_remote.py;Shanqing Cai;209;100;209;false;1
tensorflow\python\eager\imperative_grad.py;Alexandre Passos;65;100;65;false;1
tensorflow\python\estimator\gc.py;Igor Saprykin;209;100;209;false;1
tensorflow\python\estimator\canned\optimizers.py;A. Unique TensorFlower;78;100;78;false;1
tensorflow\python\estimator\export\export_lib.py;Jonathan Hseu;43;100;43;false;1
tensorflow\python\estimator\inputs\inputs.py;Jonathan Hseu;33;100;33;false;1
tensorflow\python\estimator\inputs\queues\feeding_queue_runner.py;Jianwei Xie;180;100;180;false;1
tensorflow\python\framework\tensor_spec.py;Sergio Guadarrama;201;100;201;false;1
tensorflow\python\grappler\item.py;Benoit Steiner;95;100;95;false;1
tensorflow\python\grappler\model_analyzer.py;Benoit Steiner;39;100;39;false;1
tensorflow\python\keras\activations\__init__.py;Yifei Feng;41;100;41;false;1
tensorflow\python\keras\applications\__init__.py;Francois Chollet;45;100;45;false;1
tensorflow\python\keras\applications\densenet\__init__.py;Francois Chollet;29;100;29;false;1
tensorflow\python\keras\applications\inception_resnet_v2\__init__.py;Martin Wicke;27;100;27;false;1
tensorflow\python\keras\applications\nasnet\__init__.py;Francois Chollet;28;100;28;false;1
tensorflow\python\keras\backend\__init__.py;Yifei Feng;163;100;163;false;1
tensorflow\python\keras\callbacks\__init__.py;Yifei Feng;37;100;37;false;1
tensorflow\python\keras\constraints\__init__.py;Yifei Feng;40;100;40;false;1
tensorflow\python\keras\estimator\__init__.py;Yifei Feng;25;100;25;false;1
tensorflow\python\keras\initializers\__init__.py;Yifei Feng;49;100;49;false;1
tensorflow\python\keras\layers\__init__.py;Francois Chollet;156;100;156;false;1
tensorflow\python\keras\losses\__init__.py;Yifei Feng;45;100;45;false;1
tensorflow\python\keras\metrics\__init__.py;Yifei Feng;47;100;47;false;1
tensorflow\python\keras\optimizers\__init__.py;Yifei Feng;39;100;39;false;1
tensorflow\python\keras\preprocessing\image\__init__.py;Yifei Feng;38;100;38;false;1
tensorflow\python\keras\utils\__init__.py;Francois Chollet;40;100;40;false;1
tensorflow\python\keras\_impl\keras\applications\__init__.py;Francois Chollet;32;100;32;false;1
tensorflow\python\keras\_impl\keras\layers\__init__.py;Yifei Feng;40;100;40;false;1
tensorflow\python\ops\list_ops.py;Alexandre Passos;94;100;94;false;1
tensorflow\python\ops\manip_grad.py;Michael Case;31;100;31;false;1
tensorflow\python\ops\manip_ops.py;Michael Case;38;100;38;false;1
tensorflow\python\ops\rnn_cell.py;Eugene Brevdo;51;100;51;false;1
tensorflow\python\ops\spectral_grad.py;RJ Ryan;179;100;179;false;1
tensorflow\python\ops\distributions\bijectors.py;Eugene Brevdo;31;100;31;false;1
tensorflow\python\ops\distributions\distributions.py;Eugene Brevdo;65;100;65;false;1
tensorflow\python\platform\control_imports.py;Rohan Jain;27;100;27;false;1
tensorflow\python\platform\self_check.py;Derek Murray;101;100;101;false;1
tensorflow\python\profiler\profile_context.py;A. Unique TensorFlower;337;100;337;false;1
tensorflow\python\profiler\internal\flops_registry.py;A. Unique TensorFlower;447;100;447;false;1
tensorflow\python\saved_model\main_op.py;Sukriti Ramesh;35;100;35;false;1
tensorflow\python\summary\plugin_asset.py;Dandelion Mané;141;100;141;false;1
tensorflow\python\tools\saved_model_utils.py;Hee Jung Ryu;49;100;49;false;1
tensorflow\python\training\checkpointable.py;Allen Lavoie;584;100;584;false;1
tensorflow\python\util\future_api.py;Patrick Nguyen;36;100;36;false;1
tensorflow\python\util\is_in_graph_mode.py;A. Unique TensorFlower;22;100;22;false;1
tensorflow\python\util\keyword_args.py;Jianwei Xie;52;100;52;false;1
tensorflow\python\util\tf_contextlib.py;Charles Nicholson;36;100;36;false;1
tensorflow\python\util\tf_export.py;Anna R;128;100;128;false;1
tensorflow\tools\api\generator\create_python_api.py;Anna R;197;100;197;false;1
tensorflow\tools\build_info\gen_build_info.py;Derek Murray;99;100;99;false;1
tensorflow\tools\ci_build\copy_binary.py;Amit Patankar;129;100;129;false;1
tensorflow\tools\pip_package\simple_console_for_windows.py;Patrick Nguyen;33;100;33;false;1
third_party\llvm\expand_cmake_vars.py;Peter Hawkins;88;100;88;false;1
