File;Othor1;LineOthor1;Contribution1;Othor2;LineOthor2;Contribution2;Othor3;LineOthor3;Contribution3;Othor4;LineOthor4;Contribution4;Othor5;LineOthor5;Contribution5;Othor6;LineOthor6;Contribution6;Othor7;LineOthor7;Contribution7;Othor8;LineOthor8;Contribution8;Othor9;LineOthor9;Contribution9;Othor10;LineOthor10;Contribution10;File Lines;Learning;NbOthors
scikit-learn\sklearn\cluster\_feature_agglomeration.py;Vincent Michel    ;30;37.03703703703704;Gael Varoquaux    ;2;2.4691358024691357;Alexandre Gramfort;9;11.11111111111111;Lars Buitinck     ;3;3.7037037037037037;Andreas Mueller   ;8;9.876543209876543;Raghav RV         ;6;7.407407407407407;Sergul Aydore     ;15;18.51851851851852;Denis             ;3;3.7037037037037037;Arnaud Rachez     ;3;3.7037037037037037;Joel Nothman      ;11;13.580246913580247;81;false;10
scikit-learn\sklearn\datasets\covtype.py;Lars Buitinck           ;66;53.65853658536585;Ilambharathi Kanniah    ;16;13.008130081300813;Robert Layton           ;2;1.6260162601626016;Joan Massich            ;20;16.260162601626018;RAKOTOARISON Herilalaina;2;1.6260162601626016;Olivier Grisel          ;5;4.065040650406504;TomDLT                  ;2;1.6260162601626016;Andreas Mueller         ;14;11.382113821138212;chkoar                  ;2;1.6260162601626016;Sebastin Santy          ;3;2.4390243902439024;123;false;10
scikit-learn\sklearn\manifold\isomap.py;Jake VanderPlas ;142;64.25339366515837;Robert Layton   ;2;0.9049773755656109;Andreas Mueller ;35;15.83710407239819;Lars Buitinck   ;15;6.787330316742081;ldavid          ;14;6.334841628959276;Joel Nothman    ;10;4.524886877828054;Fabian Pedregosa;3;1.3574660633484164;Loic Esteve     ;3;1.3574660633484164;pasbi           ;3;1.3574660633484164;Olivier Grisel  ;3;1.3574660633484164;221;true;10
scikit-learn\sklearn\mixture\gaussian_mixture.py;Thierry           ;406;54.205607476635514;Thierry Guillemot ;301;40.18691588785047;Jean Helie        ;2;0.26702269692923897;Joel Nothman      ;6;0.8010680907877169;Mikhail Korobov   ;7;0.9345794392523364;David Kirkby      ;2;0.26702269692923897;Olivier Grisel    ;8;1.0680907877169559;Andreas Mueller   ;16;2.1361815754339117;Guillaume Lemaitre;6;0.8010680907877169;Alexandre Gramfort;4;0.5340453938584779;749;false;10
scikit-learn\sklearn\preprocessing\_function_transformer.py;Raghav RV         ;35;19.02173913043478;Joe Jevnik        ;28;15.217391304347826;Guillaume Lemaitre;65;35.32608695652174;Andreas Mueller   ;20;10.869565217391305;Lars Buitinck     ;12;6.521739130434782;KamalakerDadi     ;3;1.6304347826086956;Shashank Shekhar  ;3;1.6304347826086956;ningchi           ;20;10.869565217391305;Josh Karnofsky    ;2;1.0869565217391304;Brian McFee       ;5;2.717391304347826;184;true;10
scikit-learn\sklearn\preprocessing\__init__.py;Nicolas Trésegnie    ;37;54.411764705882355;Lars Buitinck        ;2;2.9411764705882355;Joe Jevnik           ;3;4.411764705882353;Thomas Unterthiner   ;11;16.176470588235293;Guillaume Lemaitre   ;7;10.294117647058824;Eric Chang           ;5;7.352941176470588;Joris Van den Bossche;3;4.411764705882353;Jake VanderPlas      ;4;5.882352941176471;Joel Nothman         ;3;4.411764705882353;Andreas Mueller      ;2;2.9411764705882355;68;false;10
