File;Othor1;LineOthor1;Contribution1;Othor2;LineOthor2;Contribution2;Othor3;LineOthor3;Contribution3;Othor4;LineOthor4;Contribution4;Othor5;LineOthor5;Contribution5;Othor6;LineOthor6;Contribution6;Othor7;LineOthor7;Contribution7;Othor8;LineOthor8;Contribution8;Othor9;LineOthor9;Contribution9;File Lines;Learning;NbOthors
scikit-learn\sklearn\cluster\birch.py;Manoj Kumar       ;588;92.16300940438872;Alexandre Gramfort;11;1.7241379310344827;Raghav RV         ;16;2.5078369905956115;seales            ;3;0.4702194357366771;Andreas Mueller   ;14;2.19435736677116;Gustav Mörtberg   ;2;0.31347962382445144;Nate George       ;2;0.31347962382445144;Rasul Kerimov     ;7;1.09717868338558;Joel Nothman      ;3;0.4702194357366771;638;true;9
scikit-learn\sklearn\cluster\setup.py;Alexandre Gramfort;12;22.22222222222222;Robert Layton     ;2;3.7037037037037037;Gael Varoquaux    ;14;25.925925925925927;Andreas Mueller   ;7;12.962962962962964;David Cournapeau  ;2;3.7037037037037037;Olivier Grisel    ;3;5.555555555555555;Lars Buitinck     ;5;9.25925925925926;Loic Esteve       ;14;25.925925925925927;Jake VanderPlas   ;3;5.555555555555555;54;false;9
scikit-learn\sklearn\cluster\__init__.py;Gael Varoquaux ;7;19.444444444444443;Gilles Louppe  ;4;11.11111111111111;Pratap Vardhan ;4;11.11111111111111;Andreas Mueller;2;5.555555555555555;Nelle Varoquaux;2;5.555555555555555;Robert         ;2;5.555555555555555;Kemal Eren     ;5;13.88888888888889;Manoj Kumar    ;3;8.333333333333334;Vlad Niculae   ;15;41.666666666666664;36;false;9
scikit-learn\sklearn\datasets\mlcomp.py;Olivier Grisel  ;88;79.27927927927928;Robert Layton   ;2;1.8018018018018018;Andreas Mueller ;5;4.504504504504505;Fabian Pedregosa;2;1.8018018018018018;Roman Yurchak   ;5;4.504504504504505;Mathieu Blondel ;2;1.8018018018018018;Gael Varoquaux  ;2;1.8018018018018018;Joel Nothman    ;2;1.8018018018018018;dzikie drożdże  ;11;9.90990990990991;111;false;9
scikit-learn\sklearn\datasets\rcv1.py;TomDLT                  ;184;66.9090909090909;Joan Massich            ;78;28.363636363636363;Olivier Grisel          ;6;2.1818181818181817;RAKOTOARISON Herilalaina;2;0.7272727272727273;KamalakerDadi           ;3;1.0909090909090908;chkoar                  ;2;0.7272727272727273;Joel Nothman            ;2;0.7272727272727273;Andreas Mueller         ;3;1.0909090909090908;Sebastin Santy          ;3;1.0909090909090908;275;false;9
scikit-learn\sklearn\gaussian_process\kernels.py;Jan Hendrik Metzen;1689;90.61158798283262;Nelson Liu        ;2;0.1072961373390558;Raghav RV         ;12;0.6437768240343348;Andreas Mueller   ;61;3.272532188841202;Manoj Kumar       ;95;5.0965665236051505;Zikes, Jan        ;3;0.1609442060085837;Joel Nothman      ;5;0.26824034334763946;Hanmin Qin        ;3;0.1609442060085837;Loic Esteve       ;2;0.1072961373390558;1864;false;9
scikit-learn\sklearn\linear_model\perceptron.py;Mathieu Blondel  ;70;53.03030303030303;Robert Layton    ;2;1.5151515151515151;Andreas Mueller  ;13;9.848484848484848;trevorstephens   ;6;4.545454545454546;Tom Dupré la Tour;26;19.696969696969695;Raghav RV        ;17;12.878787878787879;Joel Nothman     ;2;1.5151515151515151;Rémy Léone       ;2;1.5151515151515151;Rob Zinkov       ;2;1.5151515151515151;132;false;9
scikit-learn\sklearn\tree\setup.py;Gael Varoquaux    ;5;12.820512820512821;Noel Dawe         ;7;17.94871794871795;Gilles Louppe     ;10;25.641025641025642;Olivier Grisel    ;2;5.128205128205129;Loic Esteve       ;5;12.820512820512821;Claire Revillet   ;2;5.128205128205129;Jacob Schreiber   ;9;23.076923076923077;Peter Prettenhofer;5;12.820512820512821;Brian Holt        ;2;5.128205128205129;39;false;9
