File;Othor1;LineOthor1;Contribution1;Othor2;LineOthor2;Contribution2;Othor3;LineOthor3;Contribution3;Othor4;LineOthor4;Contribution4;Othor5;LineOthor5;Contribution5;Othor6;LineOthor6;Contribution6;Othor7;LineOthor7;Contribution7;File Lines;Learning;NbOthors
scikit-learn\sklearn\covariance\__init__.py;Alexandre Gramfort  ;3;8.823529411764707;Andreas Mueller     ;6;17.647058823529413;Virgile Fritsch     ;4;11.764705882352942;Jaques Grobler      ;6;17.647058823529413;Olivier Grisel      ;2;5.882352941176471;Vlad Niculae        ;17;50;Johannes Schönberger;2;5.882352941176471;34;false;7
scikit-learn\sklearn\externals\joblib\parallel.py;Gael Varoquaux     ;202;25.124378109452735;Loic Esteve        ;316;39.30348258706468;Olivier Grisel     ;283;35.19900497512438;Taehoon Lee        ;2;0.24875621890547264;Stefano Lattarini  ;3;0.373134328358209;Nicolas Hug        ;2;0.24875621890547264;ApproximateIdentity;2;0.24875621890547264;804;false;7
scikit-learn\sklearn\feature_extraction\hashing.py;Lars Buitinck  ;124;72.09302325581395;Robert Layton  ;2;1.1627906976744187;Roman Yurchak  ;21;12.209302325581396;Andreas Mueller;7;4.069767441860465;Joshua Loyal   ;4;2.3255813953488373;Raghav RV      ;10;5.813953488372093;pianomania     ;10;5.813953488372093;172;true;7
scikit-learn\sklearn\feature_selection\__init__.py;Gilles Louppe         ;5;11.627906976744185;Olivier Grisel        ;13;30.232558139534884;Lars Buitinck         ;5;11.627906976744185;Vlad Niculae          ;13;30.232558139534884;Maheshakya Wijewardena;4;9.30232558139535;Nikolay Mayorov       ;7;16.27906976744186;Joel Nothman          ;2;4.651162790697675;43;false;7
scikit-learn\sklearn\gaussian_process\correlation_models.py;Vincent Dubourg   ;215;72.39057239057239;Nelson Liu        ;2;0.6734006734006734;Kumar Ashutosh    ;8;2.6936026936026938;Joel Nothman      ;7;2.356902356902357;Andreas Mueller   ;15;5.05050505050505;Raghav RV         ;35;11.784511784511784;Alexandre Gramfort;21;7.070707070707071;297;false;7
scikit-learn\sklearn\mixture\__init__.py;Alexandre Passos ;4;18.181818181818183;Gilles Louppe    ;2;9.090909090909092;Bertrand Thirion ;3;13.636363636363637;Gael Varoquaux   ;2;9.090909090909092;Vlad Niculae     ;8;36.36363636363637;Thierry          ;5;22.727272727272727;Thierry Guillemot;4;18.181818181818183;22;false;7
scikit-learn\sklearn\svm\setup.py;Lars Buitinck     ;18;22.22222222222222;Fabian Pedregosa  ;52;64.19753086419753;Alexandre Gramfort;3;3.7037037037037037;Olivier Grisel    ;4;4.938271604938271;Loic Esteve       ;6;7.407407407407407;Yaroslav Halchenko;2;2.4691358024691357;Andreas Mueller   ;2;2.4691358024691357;81;false;7
scikit-learn\sklearn\utils\random.py;Hamzeh Alsalhi ;88;44.221105527638194;Andreas Mueller;99;49.74874371859296;Naoya Kanai    ;8;4.0201005025125625;Loic Esteve    ;3;1.5075376884422111;seales         ;2;1.0050251256281406;Raghav RV      ;3;1.5075376884422111;Taehoon Lee    ;2;1.0050251256281406;199;false;7
scikit-learn\sklearn\__check_build\__init__.py;Gael Varoquaux ;38;82.6086956521739;FarahSaeed     ;2;4.3478260869565215;Lars Buitinck  ;4;8.695652173913043;Andreas Mueller;2;4.3478260869565215;Jonathan Helmus;2;4.3478260869565215;Jaques Grobler ;2;4.3478260869565215;Sebastin Santy ;2;4.3478260869565215;46;false;7
