File;Othor1;LineOthor1;Contribution1;Lines File; Learning ; NbOthors
\keras\objectives.py;Francois Chollet;6;100;6;false;1
\keras\engine\__init__.py;Francois Chollet;8;100;8;false;1
\keras\legacy\models.py;Francois Chollet;31;100;31;false;1
