File;Othor1;LineOthor1;Contribution1;Othor2;LineOthor2;Contribution2;Othor3;LineOthor3;Contribution3;Othor4;LineOthor4;Contribution4;Othor5;LineOthor5;Contribution5;Othor6;LineOthor6;Contribution6;File Lines;Learning;NbOthors
\keras\layers\noise.py;Francois Chollet;89;51.445086705202314;fchollet        ;8;4.624277456647399;Fred Schroeder  ;4;2.3121387283236996;Makoto Matsuyama;5;2.8901734104046244;Michael Oliver  ;5;2.8901734104046244;Rizky Luthfianto;67;38.72832369942196;173;false;6
\keras\utils\np_utils.py;Francois Chollet;29;58;fchollet        ;5;10;Francois        ;5;10;Sean            ;6;12;Fariz Rahman    ;6;12;Ben             ;4;8;50;false;6
\keras\utils\__init__.py;fchollet                  ;3;12;François Chollet          ;2;8;Chris                     ;3;12;Francois Chollet          ;16;64;Frédéric Branchaud-Charron;4;16;Julien Rebetez            ;2;8;25;false;6
