File;Othor1;LineOthor1;Contribution1;Othor2;LineOthor2;Contribution2;Othor3;LineOthor3;Contribution3;Othor4;LineOthor4;Contribution4;Othor5;LineOthor5;Contribution5;File Lines;Learning;NbOthors
\keras\initializers.py;Francois Chollet;471;93.63817097415507;Zhengtao Wang   ;7;1.3916500994035785;Rizky Luthfianto;24;4.7713717693836974;Larissa Heinrich;2;0.3976143141153082;Taehoon Lee     ;3;0.5964214711729622;503;false;5
\keras\applications\inception_resnet_v2.py;Yu-Yang Huang   ;352;92.38845144356955;Taehoon Lee     ;3;0.7874015748031497;Francois Chollet;16;4.199475065616798;Dan Becker      ;11;2.8871391076115485;Brendan Dwyer   ;3;0.7874015748031497;381;false;5
\keras\datasets\cifar10.py;Francois Chollet ;19;43.18181818181818;fchollet         ;14;31.818181818181817;Francois         ;8;18.181818181818183;Michal Podhradsky;2;4.545454545454546;Oleg Zabluda     ;5;11.363636363636363;44;false;5
\keras\datasets\mnist.py;Francois Chollet;19;67.85714285714286;fchollet        ;4;14.285714285714286;Michael Oliver  ;2;7.142857142857143;Brendan Dwyer   ;4;14.285714285714286;Taehoon Lee     ;3;10.714285714285714;28;false;5
\keras\layers\__init__.py;Francois Chollet          ;43;78.18181818181819;François Chollet          ;3;5.454545454545454;joelthchao                ;2;3.6363636363636362;Arbona                    ;2;3.6363636363636362;Frédéric Branchaud-Charron;9;16.363636363636363;55;false;5
