File;Othor1;LineOthor1;Contribution1;Othor2;LineOthor2;Contribution2;Othor3;LineOthor3;Contribution3;Othor4;LineOthor4;Contribution4;Othor5;LineOthor5;Contribution5;Othor6;LineOthor6;Contribution6;Othor7;LineOthor7;Contribution7;Othor8;LineOthor8;Contribution8;File Lines;Learning;NbOthors
\keras\regularizers.py;Francois Chollet;59;67.04545454545455;Michael Oliver  ;2;2.272727272727273;Thomas McColgan ;10;11.363636363636363;fchollet        ;8;9.090909090909092;François Chollet;8;9.090909090909092;Max Pumperla    ;3;3.409090909090909;Tsukasa ŌMOTO   ;2;2.272727272727273;Taehoon Lee     ;3;3.409090909090909;88;false;8
\keras\applications\inception_v3.py;Francois Chollet   ;372;91.4004914004914;Dan Becker         ;12;2.9484029484029484;Shashank           ;11;2.7027027027027026;Abner Ayala-Acevedo;3;0.7371007371007371;Ozan Çağlayan      ;2;0.4914004914004914;fchollet           ;6;1.4742014742014742;Vasilis Vryniotis  ;5;1.2285012285012284;Brendan Dwyer      ;3;0.7371007371007371;407;false;8
\keras\applications\vgg19.py;Francois Chollet   ;165;81.68316831683168;Dan Becker         ;12;5.9405940594059405;Shashank           ;11;5.445544554455446;Abner Ayala-Acevedo;3;1.4851485148514851;Ozan Çağlayan      ;2;0.9900990099009901;fchollet           ;9;4.455445544554456;Taehoon Lee        ;2;0.9900990099009901;Brendan Dwyer      ;5;2.4752475247524752;202;false;8
\keras\layers\local.py;joelthchao         ;80;20.61855670103093;Francois Chollet   ;287;73.96907216494846;ηzw                ;4;1.0309278350515463;Yu-Yang Huang      ;3;0.7731958762886598;Joel               ;5;1.288659793814433;Cheng Tang         ;10;2.577319587628866;Kosuke Kusano      ;3;0.7731958762886598;Abhai Kollara Dilip;3;0.7731958762886598;388;false;8
\keras\legacy\layers.py;Francois Chollet    ;754;67.20142602495544;Daniel Høyer Iversen;2;0.17825311942959002;Chris               ;3;0.26737967914438504;Ben                 ;4;0.35650623885918004;Yorwba              ;4;0.35650623885918004;Oleg Zabluda        ;2;0.17825311942959002;Dr. Kashif Rasul    ;2;0.17825311942959002;François Chollet    ;358;31.907308377896612;1122;false;8
\keras\utils\training_utils.py;Francois Chollet ;148;78.3068783068783;Vasilis Vryniotis;2;1.0582010582010581;Akshay Chawla    ;5;2.6455026455026456;罗诚             ;2;1.0582010582010581;ghostplant       ;10;5.291005291005291;Icyblade Dai     ;23;12.16931216931217;Bohumír Zámečník ;3;1.5873015873015872;Hans Gaiser      ;3;1.5873015873015872;189;false;8
