File;Othor1;LineOthor1;Contribution1;Othor2;LineOthor2;Contribution2;Othor3;LineOthor3;Contribution3;Othor4;LineOthor4;Contribution4;Othor5;LineOthor5;Contribution5;Othor6;LineOthor6;Contribution6;Othor7;LineOthor7;Contribution7;Othor8;LineOthor8;Contribution8;Othor9;LineOthor9;Contribution9;Othor10;LineOthor10;Contribution10;File Lines;Learning;NbOthors
\keras\constraints.py;Francois Chollet;112;60.54054054054054;Michael Oliver  ;19;10.27027027027027;fchollet        ;11;5.945945945945946;Max Pumperla    ;6;3.2432432432432434;nzw             ;4;2.1621621621621623;Cheng Tang      ;2;1.0810810810810811;Thomas McColgan ;2;1.0810810810810811;Victor Zhong    ;2;1.0810810810810811;Cristian Gratie ;33;17.83783783783784;Taehoon Lee     ;3;1.6216216216216217;185;false;10
\keras\applications\resnet50.py;Francois Chollet   ;240;82.47422680412372;Dan Becker         ;12;4.123711340206185;Taehoon Lee        ;13;4.4673539518900345;Brendan Dwyer      ;3;1.0309278350515463;Shashank           ;12;4.123711340206185;Abner Ayala-Acevedo;3;1.0309278350515463;Joe Yue-Hei Ng     ;3;1.0309278350515463;fchollet           ;10;3.4364261168384878;Ozan Çağlayan      ;2;0.6872852233676976;Chong Soless       ;2;0.6872852233676976;291;false;10
\keras\backend\__init__.py;Francois Chollet;54;52.94117647058823;Liang-Chi Hsieh ;6;5.882352941176471;Fariz Rahman    ;2;1.9607843137254901;Bohumír Zámečník;3;2.9411764705882355;Eder Santana    ;2;1.9607843137254901;Cheng Tang      ;7;6.862745098039215;fchollet        ;2;1.9607843137254901;Moussa Taifi    ;20;19.607843137254903;Julien Rebetez  ;5;4.901960784313726;Valerio Maggio  ;10;9.803921568627452;102;false;10
\keras\layers\convolutional_recurrent.py;Francois Chollet;400;70.79646017699115;JM Arbona       ;97;17.168141592920353;Yu-Yang Huang   ;3;0.5309734513274337;Fariz Rahman    ;14;2.47787610619469;Arbona          ;21;3.7168141592920354;Eric Wu         ;27;4.778761061946903;Junwei Pan      ;2;0.35398230088495575;Olexa Bilaniuk  ;2;0.35398230088495575;Joshua Chin     ;2;0.35398230088495575;Brendan Dwyer   ;6;1.0619469026548674;565;false;10
\keras\utils\layer_utils.py;Francois Chollet ;185;79.05982905982906;fchollet         ;2;0.8547008547008547;Max Pumperla     ;4;1.7094017094017093;Julien Rebetez   ;19;8.11965811965812;Sean             ;3;1.2820512820512822;Fariz Rahman     ;16;6.837606837606837;Andrei Costinescu;7;2.9914529914529915;Adam Menges      ;2;0.8547008547008547;Gijs van Tulder  ;3;1.2820512820512822;Dr. Kashif Rasul ;2;0.8547008547008547;234;false;10
