File;Othor1;LineOthor1;Contribution1;Othor2;LineOthor2;Contribution2;Othor3;LineOthor3;Contribution3;Othor4;LineOthor4;Contribution4;Othor5;LineOthor5;Contribution5;Othor6;LineOthor6;Contribution6;Othor7;LineOthor7;Contribution7;Othor8;LineOthor8;Contribution8;Othor9;LineOthor9;Contribution9;File Lines;Learning;NbOthors
\keras\metrics.py;Francois Chollet    ;44;55;Tim O'Shea          ;2;2.5;François Chollet    ;10;12.5;Matt Gardner        ;7;8.75;Gijs van Tulder     ;4;5;Jiyuan Qian         ;4;5;fchollet            ;8;10;Ramanan Balakrishnan;3;3.75;Vimos Tan           ;6;7.5;80;false;9
\keras\applications\imagenet_utils.py;Francois Chollet   ;143;45.68690095846645;Abner Ayala-Acevedo;18;5.7507987220447285;Yang Zhang         ;46;14.696485623003195;Dr. Kashif Rasul   ;9;2.8753993610223643;Oleg Zabluda       ;5;1.597444089456869;Taehoon Lee        ;59;18.849840255591054;fchollet           ;35;11.182108626198083;Brendan Dwyer      ;3;0.9584664536741214;Bohumír Zámečník   ;3;0.9584664536741214;313;false;9
\keras\applications\vgg16.py;Francois Chollet    ;162;81.4070351758794;Dan Becker          ;12;6.030150753768845;Shashank            ;11;5.527638190954774;Abner Ayala-Acevedo ;3;1.5075376884422111;Ozan Çağlayan       ;2;1.0050251256281406;fchollet            ;8;4.0201005025125625;Taehoon Lee         ;2;1.0050251256281406;Arthur Crippa Búrigo;2;1.0050251256281406;Brendan Dwyer       ;5;2.512562814070352;199;false;9
\keras\backend\common.py;Francois Chollet          ;91;47.89473684210526;Oleg Zabluda              ;4;2.1052631578947367;Taehoon Lee               ;4;2.1052631578947367;Keunwoo Choi              ;76;40;Frédéric Branchaud-Charron;9;4.7368421052631575;Eder Santana              ;3;1.5789473684210527;Mako                      ;2;1.0526315789473684;fchollet                  ;6;3.1578947368421053;Valerio Maggio            ;3;1.5789473684210527;190;false;9
\keras\datasets\imdb.py;Francois Chollet;73;61.86440677966102;fchollet        ;13;11.016949152542374;Taehoon Lee     ;12;10.169491525423728;Roland Swingler ;2;1.694915254237288;Francois        ;6;5.084745762711864;Davy Song       ;2;1.694915254237288;Brendan Dwyer   ;6;5.084745762711864;Oleg Zabluda    ;9;7.627118644067797;Bohumír Zámečník;3;2.542372881355932;118;false;9
\keras\datasets\reuters.py;Francois        ;8;7.547169811320755;Francois Chollet;48;45.283018867924525;fchollet        ;15;14.150943396226415;Taehoon Lee     ;10;9.433962264150944;Reid Sanders    ;16;15.09433962264151;Davy Song       ;2;1.8867924528301887;Brendan Dwyer   ;7;6.60377358490566;Oleg Zabluda    ;5;4.716981132075472;ηzw             ;3;2.830188679245283;106;false;9
\keras\layers\pooling.py;François Chollet   ;164;23.837209302325583;Francois Chollet   ;397;57.70348837209303;piper              ;8;1.1627906976744187;Rizky Luthfianto   ;3;0.436046511627907;Garrison Jensen    ;2;0.29069767441860467;Abhai Kollara Dilip;9;1.308139534883721;fchollet           ;68;9.883720930232558;Fariz Rahman       ;3;0.436046511627907;Anish Shah         ;42;6.104651162790698;688;false;9
